Chunk	Chunk Root	Chunk Dep	Chunk Head
"
Pectoral Sandpiper"	Sandpiper	ROOT	Sandpiper
I	I	nsubj	secured
"
23.
Tringa fuscicollis Vieill.
Whiterumped Sandpiper"	Sandpiper	ROOT	Sandpiper
Nearly a dozen	dozen	nsubj	frequented
these wary birds	birds	pobj	of
the salt ponds	ponds	dobj	frequented
the mainland shore	shore	pobj	on
Nueces Bay	Bay	pobj	of
This species	species	nsubj	appear
"24.
Ereunetes pusillus Linn"	Linn	attr	"
"
Semipalmated Sandpiper	Sandpiper	attr	"
"
Small flocks	flocks	nsubjpass	seen
several specimens	specimens	nsubj	secured
Tetanus melanoleucus Gmel	Gmel	attr	"
"
A pair	pair	nsubjpass	shot
Symphemia semipalmata inornata Brewst	Brewst	appos	26
AVestern AVillet	AVillet	appos	26
Two specimens	specimens	nsubjpass	obtained
this race	race	pobj	to
Willets	Willets	nsubj	breeding
limited numbers	numbers	pobj	in
the city flats	flats	pobj	on
Numenius longirostris Wils	Wils	conj	breeding
Longbilled Curlew	Curlew	conj	breeding
They	They	nsubj	seemed
breeding	breeding	dobj	done
Charadrius squatarola Linn	Linn	oprd	seemed
Blackbellied Plover	Plover	oprd	seemed
The abundance	abundance	nsubj	is
this Plover	Plover	pobj	of
June	June	pobj	of
this neighborhood	neighborhood	pobj	in
interest	interest	pobj	of
Kildeer	Kildeer	appos	29
"30.
Aegialitis semipalmata Bonap"	Bonap	appos	29
Semipalmated Plover	Plover	appos	29
Aegialitis wilsonia Ord	Ord	appos	3L
Wilson's Plovei	Plovei	nsubj	Breeding
the bayside	bayside	pobj	along
Turnstone	Turnstone	appos	32
My remarks	remarks	nsubj	apply
Charadrius squatarola	squatarola	pobj	on
equal force	force	pobj	with
the Turnstone	Turnstone	pobj	to
"
Wild Turkey"	Turkey	ROOT	Turkey
I	I	nsubj	spent
some time	time	dobj	spent
the vicinity	vicinity	pobj	in
Mr. Chapman	Chapman	nsubj	secured
his specimens	specimens	dobj	secured
well known turkeyroosts	turkeyroosts	dobj	visited
night	night	pobj	at
I	I	nsubj	was
these birds	birds	pobj	of
"
Mourning Dove"	Dove	ROOT	Dove
the United States	States	pobj	in
I	I	nsubj	found
this bird	bird	nsubj	abundant
Texas	Texas	pobj	in
A dozen to twenty nests	nests	nsubjpass	found
nearly every acre	acre	pobj	in
chaparral	chaparral	pobj	of
two nests	nests	nsubjpass	found
the same mesquite bush	bush	pobj	in
"36.
Cathartes aura Linn"	Linn	attr	"
"
Turkey Vulture	Vulture	appos	Linn
Catharista atrata Bartr	Bartr	appos	Linn
Black Vulture	Vulture	appos	Linn
unicinctus harrisi Aud	Aud	appos	Parabuteo
The commonest species	species	appos	Harris'Hawk
Buteo lineatus Gmel	Gmel	ROOT	Gmel
"
Redshouldered Hawk"	Hawk	ROOT	Hawk
the Nueces River	River	pobj	up
Falco sparverius Linn	Linn	ROOT	Linn
"
Sparrow Hawk"	Hawk	ROOT	Hawk
Polyborus cheriway Jacq	Jacq	attr	"
"
Pandion haliaetus	haliaetus	ROOT	haliaetus
carolinensis Gmel	Gmel	appos	haliaetus
"
American Osprey"	Osprey	ROOT	Osprey
two occasions	occasions	pobj	on
Nueces Bay	Bay	pobj	near
Barred Owl	Owl	appos	Forst
the night	night	pobj	On
my encampment	encampment	pobj	of
the upper Nueces	Nueces	pobj	on
the peculiar hooting	hooting	nsubj	indicated
this owl	owl	pobj	of
its abundance	abundance	dobj	indicated
Megascops asio mccallii Cass	Cass	attr	"
"
Texan Screech Owl	Owl	appos	Cass
the timber	timber	nsubj	was
the form	form	pobj	in
upland  Mottes	Mottes	pobj	in
riverside woodlands	woodlands	conj	Mottes
a retreat	retreat	dobj	afford
this owl	owl	nsubj	was
"
Groovebilled Ani"	Ani	ROOT	Ani
A specimen	specimen	nsubjpass	collected
Corjius	Corjius	pobj	of
Mr. Priour	Priour	pobj	by
my visit	visit	pobj	to
June	June	pobj	of
the same spot	spot	pobj	near
Geococcyx californianus	californianus	attr	"
"
Coccyzus americanus Linn	Linn	attr	"
"
Yellowbilled Cuckoo	Cuckoo	appos	Linn
Ceryle alcyon Linn	Linn	conj	found
Kingfisher	Kingfisher	conj	found
Dryobates scalaris bairdi Scl	Scl	conj	found
Baird's Woodpecker	Woodpecker	conj	found
"50.
Melanerpes aurifrons Wagl"	Wagl	attr	"
"
Goldenfronted Woodpecker	Woodpecker	appos	Wagl
Corpus Christi	Christi	pobj	About
this bird	bird	nsubj	is
the Flicker	Flicker	nsubj	is
the east	east	pobj	in
telegraph joles	joles	pobj	in
high fence posts	posts	conj	joles
less settled parts	parts	pobj	In
they	they	nsubj	are
Antrostomus carolinensis Gmel	Gmel	attr	is
Chuck Will's Widow	Widow	appos	Gmel
A specimen	specimen	nsubjpass	secured
Corpus Christi	Christi	pobj	near
April	April	pobj	in
Mr. Priour	Priour	pobj	by
I	I	nsubj	heard
none	none	dobj	heard
my stay	stay	pobj	during
This Goatsucker	Goatsucker	nsubjpass	heard
my stay	stay	pobj	throughout
Corpus Christi	Christi	pobj	at
San Patricio	Patricio	pobj	around
the bird	bird	nsubjpass	perched
a fence	fence	pobj	on
I	I	nsubj	traced
it	it	dobj	traced
the ground	ground	pobj	to
the narrow cowpaths	cowpaths	pobj	in
the chaparral	chaparral	pobj	of
open glades	glades	pobj	in
A nest	nest	nsubjpass	found
a single egg	egg	dobj	containing
San Patricio	Patricio	pobj	near
June	June	pobj	of
Western Nighthawk	Nighthawk	appos	Cass
All the Xigbthawks	Xigbthawks	nsubj	appear
Corpus Christi	Christi	pobj	around
this race	race	pobj	to
C. texensis	texensis	nsubj	finds
its southwestern breediug limit	limit	dobj	finds
Corpus Christi	Christi	pobj	between
San Antonio	Antonio	conj	Christi
the migrations	migrations	pobj	during
texensis	texensis	nsubjpass	noticed
Priour	Priour	pobj	by
Corpus Christi	Christi	pobj	of
Chimney Swift	Swift	appos	Linn
This species	species	nsubj	is
another unaccountable omission	omission	attr	is
Beckham's li.t	li.t	pobj	fi'om
Though not common quite a number	number	nsubjpass	seen
Trochilus colubris Linn	Linn	attr	is
Rubythroated Hummingbird	Hummingbird	attr	is
Three individuals	individuals	nsubj	seen
Milvulus forficatus GmeL.	GmeL.	appos	56
These elegant birds	birds	nsubj	moult
the summer	summer	pobj	in
June	June	pobj	of
their bright colors	colors	nsubj	are
the tailfeathers	tailfeathers	nsubj	threadbare
a dozen specimens	specimens	pobj	of
no exceptions	exceptions	attr	were
this rule	rule	pobj	to
the breeding season	season	nsubj	begun
The worn appearance	appearance	nsubj	is
the tail	tail	pobj	of
the necessary switching	switching	pobj	to
it	it	pobj	of
the devious pursuit	pursuit	pobj	in
insect prey	prey	pobj	of
it	it	nsubjpass	attributed
the fact	fact	pobj	to
the birds	birds	nsubj	are
tieir habits	habits	pobj	in
I	I	nsubj	observed
them	them	nsubj	gleaning
hours	hours	pobj	for
insects	insects	dobj	gleaning
the open pastures	pastures	pobj	in
salt fiats	fiats	conj	pastures
Corpus Christi	Christi	pobj	near
hesitation	hesitation	pobj	without
the short grass	grass	pobj	in
their food	food	dobj	devour
I	I	nsubj	observed
the males	males	nsubj	mounting
the air	air	pobj	in
the manner	manner	pobj	after
Kingbirds	Kingbirds	pobj	of
"
57.
Tyrannus tyrannus Linn"	Linn	ROOT	Linn
Kingbird	Kingbird	appos	Linn
The only specimen	specimen	nsubjpass	obtained
this species	species	pobj	of
Corpus Christi	Christi	pobj	near
May 30th	30th	pobj	on
"
Myiarchus crinitus Linn"	Linn	ROOT	Linn
Crested Flycatcher	Flycatcher	appos	Linn
the Nueces Eiver bottoms	bottoms	pobj	near
Another .specimen	.specimen	nsubjpass	obtained
